,의료기관명,도로명주소,위도,경도,전화번호,병상수,입원실수,진료과목
0,동남권원자력의학원,부산광역시 기장군 장안읍 좌동길 40,35.32141899,129.2436492,051-720-5114,225,66,내과 마취통증의학과 방사선종양학과 병리과 비뇨기과 산부인과 소아청소년과 신경외과 영상의학과 외과 응급의학과 이비인후과 정신건강의학과 정형외과 진단검사의학과 핵의학과 흉부외과
1,부산성모병원(재단법인천주교부산교구유지재단),부산광역시 남구 용호로232번길 25-14 (용호동),35.11045733,129.109192,051-933-7114,377,145,구강내과 구강악안면방사선과 내과 마취통증의학과 병리과 보건(의료원)소 비뇨기과 산부인과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 치과보존과 치과보철과 치주과 피부과 핵의학과
2,좋은문화병원,부산광역시 동구 범일로 119 (범일동),35.14072399,129.0590638,051-644-2002,292,108,가정의학과 내과 마취통증의학과 병리과 비뇨기과 산부인과 성형외과 소아청소년과 신경과 신경외과 영상의학과 외과 이비인후과 정신건강의학과 정형외과 진단검사의학과 치과보존과 피부과 흉부외과
3,재단법인한호기독교선교회일신기독병원,부산광역시 동구 정공단로 27 (좌천동),35.13550455,129.0545971,051-630-0300,150,62,가정의학과 내과 마취통증의학과 병리과 산부인과 소아청소년과 신경과 영상의학과 외과 이비인후과 정신건강의학과 정형외과 진단검사의학과 치과보철과
4,의료법인정화의료재단김원묵기념봉생병원,"부산광역시 동구 중앙대로 401 (좌천동, 봉생병원)",35.13085784,129.0505709,051-664-4000,405,106,내과 마취통증의학과 병리과 비뇨기과 산부인과 소아청소년과 신경과 신경외과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 치주과
5,동래봉생병원,부산광역시 동래구 안연로109번길 27 (안락동),35.19694648,129.0961666,051-531-6000,255,70,가정의학과 내과 마취통증의학과 소아청소년과 신경과 신경외과 영상의학과 외과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과
6,대동병원,부산광역시 동래구 충렬대로 187 (명륜동),35.20427317,129.0802155,051-554-1233,432,123,가정의학과 내과 마취통증의학과 병리과 보건(의료원)소 비뇨기과 산부인과 성형외과 소아청소년과 신경과 신경외과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 피부과
7,의료법인광혜의료재단광혜병원,"부산광역시 동래구 충렬대로 96 (온천동, 광혜병원)",35.20703333,129.0711361,051-503-2111,175,50,내과 마취통증의학과 산부인과 소아청소년과 신경과 영상의학과 외과 이비인후과 재활의학과 정형외과 진단검사의학과
8,의료법인온그룹의료재단온종합병원,"부산광역시 부산진구 가야대로 721, 719, 767 (당감동)",35.15787736,129.0499844,051-607-0133,499,166,가정의학과 내과 마취통증의학과 방사선종양학과 병리과 보건(의료원)소 비뇨기과 산부인과 성형외과 소아청소년과 신경과 신경외과 안과 영상의학과 예방의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 조산원 진단검사의학과 치과보철과 흉부외과
9,인제대학교부산백병원,"부산광역시 부산진구 복지로 75, 진사로83번길 81, 1층(일부), 3층 (개금동)",35.14645447,129.0205715,051-890-6114,834,186,가정의학과 내과 마취통증의학과 방사선종양학과 병리과 보건(의료원)소 비뇨기과 산부인과 성형외과 소아청소년과 신경과 신경외과 안과 영상의학과 예방의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 조산원 진단검사의학과 피부과 핵의학과 흉부외과
10,학교법인)동의병원,"부산광역시 부산진구 양정로 62, 지상2ㆍ3ㆍ10층 각 일부/ 지하1ㆍ지상1ㆍ지상4~지상8층 전층 (양정동)",35.16992218,129.0767444,051-867-5101,448,142,가정의학과 내과 마취통증의학과 병리과 비뇨기과 산부인과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 치과 흉부외과
11,학교법인 춘해병원,부산광역시 부산진구 중앙대로 605 지상1층~지상9층 (범천동),35.14703698,129.0585477,051-638-8000,201,61,가정의학과 내과 마취통증의학과 보건(의료원)소 비뇨기과 산부인과 신경과 신경외과 영상의학과 외과 이비인후과 정형외과 진단검사의학과
12,구포성심병원,부산광역시 북구 낙동대로 1786 (구포동),35.20971003,129.004751,051-330-2001,243,63,내과 마취통증의학과 보건(의료원)소 비뇨기과 산부인과 신경과 신경외과 영상의학과 외과 응급의학과 정형외과 진단검사의학과 흉부외과
13,의료법인인당의료재단부민병원,부산광역시 북구 만덕대로 59 (덕천동),35.21191432,129.0112123,051-330-3000,374,126,내과 마취통증의학과 병리과 보건(의료원)소 비뇨기과 산부인과 소아청소년과 신경과 신경외과 영상의학과 외과 응급의학과 정신건강의학과 정형외과 진단검사의학과 치과
14,의료법인은성의료재단좋은삼선병원,부산광역시 사상구 가야대로 326 (주례동),35.15056774,129.0081979,051-322-0900,378,109,가정의학과 내과 마취통증의학과 병리과 비뇨기과 산부인과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 조산원 진단검사의학과 치과 흉부외과
15,한국보훈복지의료공단부산보훈병원,부산광역시 사상구 백양대로 420 (주례동),35.15333437,129.0065651,051-601-6000,475,103,가정의학과 내과 마취통증의학과 병리과 비뇨기과 산부인과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 치과보철과 피부과 한방내과
16,고신대학교복음병원,부산광역시 서구 감천로 262 (암남동),35.08029169,129.0157202,051-990-6114,887,266,가정의학과 내과 마취통증의학과 방사선종양학과 병리과 보건(의료원)소 비뇨기과 산부인과 성형외과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 조산원 진단검사의학과 피부과 핵의학과 흉부외과
17,부산대학교병원,부산광역시 서구 구덕로 179 (아미동1가),35.10105418,129.0192221,051-240-7000,1182,329,가정의학과 구강내과 내과 마취통증의학과 방사선종양학과 병리과 보건(의료원)소 비뇨기과 산부인과 성형외과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 치과교정과 치과보존과 치과보철과 치주과 침구과 피부과 핵의학과 흉부외과
18,동아대학교병원,부산광역시 서구 대신공원로 26 (동대신동3가),35.12000584,129.0176037,051-240-2400,951,267,가정의학과 내과 마취통증의학과 방사선종양학과 병리과 보건(의료원)소 비뇨기과 산부인과 성형외과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 조산원 진단검사의학과 피부과 핵의학과 흉부외과
19,삼육부산병원,부산광역시 서구 대티로 170 (서대신동2가),35.11177721,129.0107498,051-242-9751,299,93,가정의학과 구강내과 구강병리과 구강악안면방사선과 내과 마취통증의학과 방사선종양학과 병리과 보건(의료원)소 비뇨기과 산부인과 소아청소년과 소아치과 신경과 신경외과 안과 영상의학과 예방치과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 조산원 진단검사의학과 치과교정과 치과보존과 치과보철과 치주과
20,의료법인은성의료재단좋은강안병원,부산광역시 수영구 수영로 493 (남천동),35.15015906,129.1107244,051-625-0900,539,186,가정의학과 내과 마취통증의학과 병리과 보건(의료원)소 비뇨기과 산부인과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 조산원 진단검사의학과 치과보존과 흉부외과
21,비에이치에스한서병원,부산광역시 수영구 수영로 615 (광안동),35.16104606,129.1128811,051-756-0081,299,90,가정의학과 내과 마취통증의학과 병리과 비뇨기과 산부인과 소아청소년과 신경과 신경외과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 흉부외과
22,부산광역시의료원,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",35.18731265,129.0591792,051-507-3000,543,137,가정의학과 내과 마취통증의학과 병리과 비뇨기과 산부인과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 치과 피부과 흉부외과
23,의료법인행도의료재단해동병원,부산광역시 영도구 태종로 133 (봉래동3가),35.09194298,129.0438643,051-412-6161,265,72,가정의학과 내과 마취통증의학과 비뇨기과 산부인과 소아청소년과 신경과 신경외과 영상의학과 외과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 흉부외과
24,영도병원,부산광역시 영도구 태종로 85 (대교동2가),35.0922712,129.0405372,051-414-8101,219,60,가정의학과 내과 마취통증의학과 병리과 비뇨기과 산부인과 소아청소년과 신경과 신경외과 영상의학과 외과 정형외과 조산원 치주과
25,재단법인천주교부산교구유지재단메리놀병원,부산광역시 중구 중구로 121 (대청동4가),35.10758097,129.0324638,051-465-8801,367,120,가정의학과 구강내과 구강병리과 구강악안면방사선과 내과 마취통증의학과 방사선종양학과 병리과 보건(의료원)소 비뇨기과 산부인과 소아청소년과 소아치과 신경과 신경외과 안과 영상의학과 예방치과 외과 이비인후과 재활의학과 정신건강의학과 정형외과 진단검사의학과 치과교정과 치과보존과 치과보철과 치주과 피부과 흉부외과
26,의료법인인당의료재단해운대부민병원,부산광역시 해운대구 해운대로 584 (우동),35.16142041,129.1556561,051-602-8000,357,116,가정의학과 내과 마취통증의학과 산부인과 소아청소년과 소아치과 신경과 신경외과 영상의학과 외과 응급의학과 재활의학과 정신건강의학과 정형외과 진단검사의학과 치과보존과 치과보철과 치주과
27,인제대학교해운대백병원,부산광역시 해운대구 해운대로 875 (좌동),35.17334314,129.1821812,051-797-0100,890,253,가정의학과 내과 마취통증의학과 방사선종양학과 병리과 보건(의료원)소 비뇨기과 산부인과 성형외과 소아청소년과 신경과 신경외과 안과 영상의학과 외과 응급의학과 이비인후과 재활의학과 정신건강의학과 정형외과 조산원 진단검사의학과 치과교정과 치과보철과 피부과 핵의학과 흉부외과
